Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
S. Abdul Hamid,M,25.547694753577108,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
S. Abdul Hamid,M,25.547694753577108,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,1984,Summer,Los Angeles,Athletics,
Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,1984,Summer,Los Angeles,Athletics,
Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,1988,Summer,Seoul,Athletics,
Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,1988,Summer,Seoul,Athletics,
Shiny Kurisingal Abraham-Wilson,F,27.0,167.0,53.0,1992,Summer,Barcelona,Athletics,
Shiny Kurisingal Abraham-Wilson,F,31.0,167.0,53.0,1996,Summer,Atlanta,Athletics,
Sharath Kamal Achanta,M,22.0,186.0,85.0,2004,Summer,Athina,Table Tennis,
Sharath Kamal Achanta,M,26.0,186.0,85.0,2008,Summer,Beijing,Table Tennis,
Sharath Kamal Achanta,M,34.0,186.0,85.0,2016,Summer,Rio de Janeiro,Table Tennis,
Badathala Adisekhar,M,28.0,171.63860830527497,53.0,1992,Summer,Barcelona,Weightlifting,
Badathala Adisekhar,M,32.0,171.63860830527497,53.0,1996,Summer,Atlanta,Weightlifting,
Mirza Najib Aga,M,19.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Judo,
Neha Aggarwal,F,18.0,170.0,67.0,2008,Summer,Beijing,Table Tennis,
Jahan Ahir,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Water Polo,
Jitendarjit Singh Ahluwalia,M,25.0,179.0,69.0,1980,Summer,Moskva,Equestrianism,
Jitendarjit Singh Ahluwalia,M,25.0,179.0,69.0,1980,Summer,Moskva,Equestrianism,
A. Hussain Ahmed,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Football,
Shakeel Ahmed,M,21.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Hockey,
Neha Ahuja,F,24.0,162.0,54.0,2006,Winter,Torino,Alpine Skiing,
Neha Ahuja,F,24.0,162.0,54.0,2006,Winter,Torino,Alpine Skiing,
Balkrishan Akotkar,M,27.0,171.0,57.0,1964,Summer,Tokyo,Athletics,
Anil Alexander Aldrin,M,24.0,171.63860830527497,67.75776754890678,1996,Summer,Atlanta,Hockey,
Shaukat Ali,M,30.0,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Syed Ali,M,19.0,169.0,60.0,1976,Summer,Montreal,Hockey,
Syed Mushtaq Ali,M,22.0,165.0,61.0,1964,Summer,Tokyo,Hockey,Gold
Sayed Zeeshan Ali,M,18.0,180.0,64.0,1988,Summer,Seoul,Tennis,
Richard James Allen,M,25.0,172.0,67.75776754890678,1928,Summer,Amsterdam,Hockey,Gold
Richard James Allen,M,30.0,172.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Richard James Allen,M,34.0,172.0,67.75776754890678,1936,Summer,Berlin,Hockey,Gold
Bobby Aloysius,F,30.0,173.0,55.0,2004,Summer,Athina,Athletics,
Jehangoo Amin,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Cycling,
Anand Amritraj,M,36.0,185.0,77.0,1988,Summer,Seoul,Tennis,
Vijay Amritraj,M,34.0,193.0,75.0,1988,Summer,Seoul,Tennis,
Vijay Amritraj,M,34.0,193.0,75.0,1988,Summer,Seoul,Tennis,
"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29.0,183.0,97.0,1964,Summer,Tokyo,Wrestling,
"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29.0,183.0,97.0,1964,Summer,Tokyo,Wrestling,
Imtiaz Anees,M,29.0,158.0,60.0,2000,Summer,Sydney,Equestrianism,
