Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
A Lamusi,M,23.0,170.0,60.0,China,2012,London,Judo,Judo Men's Extra-Lightweight,
Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France,2012,London,Athletics,"Athletics Men's 1,500 metres",
Abdelhak Aatakni,M,24.0,,64.0,Morocco,2012,London,Boxing,Boxing Men's Light-Welterweight,
Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,2012,London,Athletics,Athletics Women's Javelin Throw,
Luc Abalo,M,27.0,182.0,86.0,France,2012,London,Handball,Handball Men's Handball,Gold
Mara Laura Abalo,F,30.0,182.0,73.0,Argentina,2012,London,Rowing,Rowing Women's Coxless Pairs,
Emanuele Abate,M,27.0,190.0,80.0,Italy,2012,London,Athletics,Athletics Men's 110 metres Hurdles,
Ilyas Abbadi,M,19.0,175.0,75.0,Algeria,2012,London,Boxing,Boxing Men's Welterweight,
Sohail Abbas,M,37.0,178.0,80.0,Pakistan,2012,London,Hockey,Hockey Men's Hockey,
Shakeel Abbasi,M,28.0,165.0,60.0,Pakistan,2012,London,Hockey,Hockey Men's Hockey,
Soulmaz Abbasi Azad,F,28.0,173.0,60.0,Iran,2012,London,Rowing,Rowing Women's Single Sculls,
Simona Abbate,F,28.0,171.0,64.0,Italy,2012,London,Water Polo,Water Polo Women's Water Polo,
Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,185.0,98.0,Egypt,2012,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,167.0,60.0,Egypt,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Ibrahim Ramadan Ibrahim Abdelbaki,M,24.0,173.0,77.0,Egypt,2012,London,Weightlifting,Weightlifting Men's Middleweight,
Ragab Abdelhay Saad Abdelrazek Abdallah,M,21.0,170.0,94.0,Egypt,2012,London,Weightlifting,Weightlifting Men's Light-Heavyweight,
Sayed Abdelmonem Sayed Hamed,M,23.0,170.0,60.0,Egypt,2012,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
Ihab Abdelrahman El-Sayed Abdelrahman,M,23.0,194.0,96.0,Egypt,2012,London,Athletics,Athletics Men's Javelin Throw,
Mouni Abderrahim,F,26.0,173.0,60.0,Algeria,2012,London,Volleyball,Volleyball Women's Volleyball,
Saeid Morad Abdevali,M,22.0,170.0,80.0,Iran,2012,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
Youcef Abdi,M,34.0,178.0,66.0,Australia,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
"Abdihakim ""Abdi"" Abdirahman",M,35.0,178.0,61.0,United States,2012,London,Athletics,Athletics Men's Marathon,
Yhyacinthe Mewoli Abdon,M,26.0,176.0,60.0,Cameroon,2012,London,Boxing,Boxing Men's Lightweight,
Dana Abdul Razak (Hussain-),F,26.0,163.0,56.0,Iraq,2012,London,Athletics,Athletics Women's 100 metres,
Mona Ahmad Abdulaziz Hassanein,F,26.0,166.0,61.0,Egypt,2012,London,Fencing,"Fencing Women's epee, Individual",
Ahmed Abdulkareem Ahmed,M,20.0,,,Iraq,2012,London,Boxing,Boxing Men's Welterweight,
Muminzhon Abdullayev,M,22.0,190.0,130.0,Uzbekistan,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
Laye Abdullayeva,F,21.0,170.0,47.0,Azerbaijan,2012,London,Athletics,"Athletics Women's 5,000 metres",
Abir Abdulrahman Khalil Mahmoud Khalil,F,20.0,162.0,72.0,Egypt,2012,London,Weightlifting,Weightlifting Women's Heavyweight,
Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23.0,168.0,68.0,United Arab Emirates,2012,London,Football,Football Men's Football,
Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20.0,168.0,62.0,United Arab Emirates,2012,London,Football,Football Men's Football,
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,170.0,59.0,Egypt,2012,London,Synchronized Swimming,Synchronized Swimming Women's Duet,
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,170.0,59.0,Egypt,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Mohamed Abdultwab Ibrahim Abd El-Baki,M,25.0,162.0,69.0,Egypt,2012,London,Weightlifting,Weightlifting Men's Lightweight,
Rasul Abduraim,M,23.0,183.0,74.0,Kyrgyzstan,2012,London,Taekwondo,Taekwondo Men's Welterweight,
Yusup Abdusalomov,M,34.0,170.0,84.0,Tajikistan,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
Mojtaba Abedini Shormasti,M,27.0,180.0,83.0,Iran,2012,London,Fencing,"Fencing Men's Sabre, Individual",
Jennifer Abel,F,20.0,160.0,62.0,Canada,2012,London,Diving,Diving Women's Springboard,
Jennifer Abel,F,20.0,160.0,62.0,Canada,2012,London,Diving,Diving Women's Synchronized Springboard,Bronze
Yaritza Abel Rojas,F,28.0,,62.0,Cuba,2012,London,Judo,Judo Women's Half-Middleweight,
Mohamed Aberhoune,M,23.0,187.0,75.0,Morocco,2012,London,Football,Football Men's Football,
Pablo Abin Vicen,M,27.0,177.0,68.0,Spain,2012,London,Badminton,Badminton Men's Singles,
Tomomi Abiko,F,24.0,173.0,53.0,Japan,2012,London,Athletics,Athletics Women's Pole Vault,
Camille Anne Franoise Abily,F,27.0,168.0,60.0,France,2012,London,Football,Football Women's Football,
Endurance Abinuwa,F,24.0,159.0,54.0,Nigeria,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Team All-Around,
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Parallel Bars,
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,2012,London,Gymnastics,Gymnastics Men's Rings,
Bukola Dammy Abogunloko,F,17.0,170.0,53.0,Nigeria,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,
Rabah Aboud,M,31.0,180.0,64.0,Algeria,2012,London,Athletics,"Athletics Men's 5,000 metres",
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,2012,London,Fencing,"Fencing Men's Foil, Individual",Silver
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,2012,London,Fencing,"Fencing Men's Foil, Team",
Mohamed Mohamed Mohamed Aboutrika,M,33.0,182.0,77.0,Egypt,2012,London,Football,Football Men's Football,
Arnaldo Lus Isaas Abrantes,M,25.0,183.0,72.0,Portugal,2012,London,Athletics,Athletics Men's 200 metres,
Amir Abrashi,M,22.0,172.0,70.0,Switzerland,2012,London,Football,Football Men's Football,
rika Abril Surez,F,34.0,164.0,52.0,Colombia,2012,London,Athletics,Athletics Women's Marathon,
Laura Valentina Abril Restrepo,F,22.0,162.0,50.0,Colombia,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",
Julien Absalon,M,31.0,180.0,68.0,France,2012,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",
Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,2012,London,Athletics,Athletics Men's Marathon,
Methkal Marouf Abu Drais,M,28.0,168.0,67.0,Jordan,2012,London,Athletics,Athletics Men's Marathon,
Maher Abu Rmilah,M,28.0,172.0,72.0,Palestine,2012,London,Judo,Judo Men's Lightweight,
Mohammad Abulibdeh,M,28.0,183.0,68.0,Jordan,2012,London,Taekwondo,Taekwondo Men's Featherweight,
Kanat Kalizhanovich Abutalipov,M,29.0,168.0,56.0,Kazakhstan,2012,London,Boxing,Boxing Men's Bantamweight,
Irina Alekseyevna Abysova,F,31.0,175.0,56.0,Russia,2012,London,Triathlon,Triathlon Women's Olympic Distance,
William Accambray,M,24.0,194.0,104.0,France,2012,London,Handball,Handball Men's Handball,Gold
Raidel Acea Morales,M,21.0,,,Cuba,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Loreto Achaerandio Snchez-Marn,F,20.0,164.0,50.0,Spain,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
Kieron Robert Achara,M,29.0,208.0,110.0,Great Britain,2012,London,Basketball,Basketball Men's Basketball,
Janet Achola,F,24.0,167.0,52.0,Uganda,2012,London,Athletics,"Athletics Women's 1,500 metres",
Natalie Chioma Achonwa,F,19.0,190.0,86.0,Canada,2012,London,Basketball,Basketball Women's Basketball,
Dallal Merwa Achour,F,17.0,176.0,45.0,Algeria,2012,London,Volleyball,Volleyball Women's Volleyball,
Haykel Al-Achouri,M,27.0,184.0,84.0,Tunisia,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Luz Mercedes Acosta Valdez,F,31.0,164.0,63.0,Mexico,2012,London,Weightlifting,Weightlifting Women's Middleweight,
"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,37.0,188.0,66.0,United States,2012,London,Athletics,Athletics Women's High Jump,
Crox Ernesto Acua Rodrguez,M,22.0,192.0,89.0,Venezuela,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
